series,c,loglik_exact,c_true,phi,nu
Serie_3,0.8560606060606061,-1864.538699515052,0.2,0.8,2.5
Serie_3,0.8656565656565657,-1869.5009405586165,0.2,0.8,2.5
Serie_3,0.8752525252525253,-1874.4549520169858,0.2,0.8,2.5
Serie_3,0.8848484848484849,-1879.4006120926585,0.2,0.8,2.5
Serie_3,0.8944444444444444,-1884.3378077407026,0.2,0.8,2.5
Serie_3,0.904040404040404,-1889.2664341509505,0.2,0.8,2.5
Serie_3,0.9136363636363636,-1894.1863942639116,0.2,0.8,2.5
Serie_3,0.9232323232323232,-1899.0975983178414,0.2,0.8,2.5
Serie_3,0.9328282828282828,-1903.9999634248911,0.2,0.8,2.5
Serie_3,0.9424242424242424,-1908.8934131740377,0.2,0.8,2.5
Serie_3,0.952020202020202,-1913.7778772590261,0.2,0.8,2.5
Serie_3,0.9616161616161616,-1918.6532911294805,0.2,0.8,2.5
Serie_3,0.9712121212121212,-1923.5195956636232,0.2,0.8,2.5
Serie_3,0.9808080808080808,-1928.376736861034,0.2,0.8,2.5
Serie_3,0.9904040404040404,-1933.2246655541237,0.2,0.8,2.5
Serie_3,1.0,-1938.0633371370402,0.2,0.8,2.5
