series,nu,loglik_exact,nu_true,phi,c
Serie_3,1.838926174496644,-1562.7038570199802,2.5,0.8,0.2
Serie_3,1.857718120805369,-1562.147337840997,2.5,0.8,0.2
Serie_3,1.876510067114094,-1561.6127567905835,2.5,0.8,0.2
Serie_3,1.8953020134228187,-1561.0999359972607,2.5,0.8,0.2
Serie_3,1.9140939597315434,-1560.608700091347,2.5,0.8,0.2
Serie_3,1.9328859060402683,-1560.1388761486921,2.5,0.8,0.2
Serie_3,1.9516778523489933,-1559.6902936363283,2.5,0.8,0.2
Serie_3,1.970469798657718,-1559.2627843598284,2.5,0.8,0.2
Serie_3,1.9892617449664427,-1558.85618241246,2.5,0.8,0.2
Serie_3,2.0080536912751676,-1558.4703241258678,2.5,0.8,0.2
Serie_3,2.0268456375838926,-1558.1050480224262,2.5,0.8,0.2
Serie_3,2.045637583892617,-1557.7601947689868,2.5,0.8,0.2
Serie_3,2.064429530201342,-1557.4356071321247,2.5,0.8,0.2
Serie_3,2.083221476510067,-1557.131129934716,2.5,0.8,0.2
Serie_3,2.102013422818792,-1556.8466100138598,2.5,0.8,0.2
Serie_3,2.120805369127517,-1556.5818961800303,2.5,0.8,0.2
Serie_3,2.1395973154362418,-1556.336839177464,2.5,0.8,0.2
Serie_3,2.1583892617449663,-1556.1112916456889,2.5,0.8,0.2
Serie_3,2.177181208053691,-1555.9051080821964,2.5,0.8,0.2
Serie_3,2.195973154362416,-1555.7181448061478,2.5,0.8,0.2
Serie_3,2.2147651006711406,-1555.5502599231509,2.5,0.8,0.2
Serie_3,2.2335570469798656,-1555.401313290989,2.5,0.8,0.2
Serie_3,2.2523489932885905,-1555.2711664863373,2.5,0.8,0.2
Serie_3,2.2711409395973154,-1555.1596827723708,2.5,0.8,0.2
Serie_3,2.2899328859060404,-1555.066727067277,2.5,0.8,0.2
Serie_3,2.308724832214765,-1554.9921659136019,2.5,0.8,0.2
Serie_3,2.32751677852349,-1554.9358674484222,2.5,0.8,0.2
Serie_3,2.3463087248322143,-1554.8977013743192,2.5,0.8,0.2
Serie_3,2.3651006711409392,-1554.8775389310883,2.5,0.8,0.2
Serie_3,2.383892617449664,-1554.8752528682105,2.5,0.8,0.2
Serie_3,2.402684563758389,-1554.890717418033,2.5,0.8,0.2
Serie_3,2.421476510067114,-1554.9238082695913,2.5,0.8,0.2
Serie_3,2.440268456375839,-1554.9744025431544,2.5,0.8,0.2
Serie_3,2.459060402684564,-1555.0423787653658,2.5,0.8,0.2
Serie_3,2.4778523489932884,-1555.1276168450315,2.5,0.8,0.2
Serie_3,2.4966442953020134,-1555.229998049446,2.5,0.8,0.2
Serie_3,2.515436241610738,-1555.3494049813924,2.5,0.8,0.2
Serie_3,2.534228187919463,-1555.4857215565992,2.5,0.8,0.2
Serie_3,2.5530201342281877,-1555.6388329818049,2.5,0.8,0.2
Serie_3,2.5718120805369127,-1555.808625733318,2.5,0.8,0.2
Serie_3,2.5906040268456376,-1555.994987536071,2.5,0.8,0.2
Serie_3,2.6093959731543626,-1556.1978073432053,2.5,0.8,0.2
Serie_3,2.628187919463087,-1556.4169753160675,2.5,0.8,0.2
Serie_3,2.646979865771812,-1556.6523828047389,2.5,0.8,0.2
Serie_3,2.6657718120805365,-1556.9039223289467,2.5,0.8,0.2
Serie_3,2.6845637583892614,-1557.1714875594382,2.5,0.8,0.2
Serie_3,2.7033557046979864,-1557.4549732997637,2.5,0.8,0.2
Serie_3,2.7221476510067113,-1557.754275468472,2.5,0.8,0.2
Serie_3,2.7409395973154362,-1558.0692910816956,2.5,0.8,0.2
Serie_3,2.759731543624161,-1558.3999182361158,2.5,0.8,0.2
