series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6202025316455696,50,15,-8011.762394290431,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,16,-7886.3280896707865,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,17,-8124.362755672452,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,18,-7712.851160090412,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,19,-8058.06362560247,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,20,-7855.802237483571,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,21,-8044.155790773439,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,22,-7938.950786371446,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,23,-8013.668179502305,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,24,-7839.052174889141,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,25,-7837.022336524596,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,26,-7935.258669718825,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,27,-7897.367301555946,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,28,-8245.265749619208,0.965,2.5,0.2
Serie_1,0.6202025316455696,50,29,-8050.6118782094845,0.965,2.5,0.2
Serie_1,0.625253164556962,50,0,-7815.610187563527,0.965,2.5,0.2
Serie_1,0.625253164556962,50,1,-7819.19856115203,0.965,2.5,0.2
Serie_1,0.625253164556962,50,2,-7945.617081831434,0.965,2.5,0.2
Serie_1,0.625253164556962,50,3,-7948.127413561724,0.965,2.5,0.2
Serie_1,0.625253164556962,50,4,-7855.176956493357,0.965,2.5,0.2
Serie_1,0.625253164556962,50,5,-7845.996721335183,0.965,2.5,0.2
Serie_1,0.625253164556962,50,6,-8020.849803808614,0.965,2.5,0.2
Serie_1,0.625253164556962,50,7,-7893.8872607718995,0.965,2.5,0.2
Serie_1,0.625253164556962,50,8,-7826.243367627153,0.965,2.5,0.2
Serie_1,0.625253164556962,50,9,-7584.969547576948,0.965,2.5,0.2
Serie_1,0.625253164556962,50,10,-7782.453614501612,0.965,2.5,0.2
Serie_1,0.625253164556962,50,11,-7894.302985982176,0.965,2.5,0.2
Serie_1,0.625253164556962,50,12,-7781.522409700134,0.965,2.5,0.2
Serie_1,0.625253164556962,50,13,-7764.158739739042,0.965,2.5,0.2
Serie_1,0.625253164556962,50,14,-7807.282278723688,0.965,2.5,0.2
Serie_1,0.625253164556962,50,15,-7967.410734094547,0.965,2.5,0.2
Serie_1,0.625253164556962,50,16,-7905.986617788482,0.965,2.5,0.2
Serie_1,0.625253164556962,50,17,-7755.856646251587,0.965,2.5,0.2
Serie_1,0.625253164556962,50,18,-8039.515035376795,0.965,2.5,0.2
Serie_1,0.625253164556962,50,19,-7696.063813616702,0.965,2.5,0.2
Serie_1,0.625253164556962,50,20,-7950.647914125252,0.965,2.5,0.2
Serie_1,0.625253164556962,50,21,-7518.6537001572915,0.965,2.5,0.2
Serie_1,0.625253164556962,50,22,-7764.560291213038,0.965,2.5,0.2
Serie_1,0.625253164556962,50,23,-7815.138667829148,0.965,2.5,0.2
Serie_1,0.625253164556962,50,24,-7814.049414528682,0.965,2.5,0.2
