series,phi,loglik_exact,phi_true,nu,c
Serie_2,0.9107788944723618,-2212.6931088188367,0.8,3.0,0.4
Serie_2,0.9127839195979899,-2214.429819722048,0.8,3.0,0.4
Serie_2,0.9147889447236182,-2216.1955704498805,0.8,3.0,0.4
Serie_2,0.9167939698492462,-2217.990381496247,0.8,3.0,0.4
Serie_2,0.9187989949748744,-2219.8142783724547,0.8,3.0,0.4
Serie_2,0.9208040201005026,-2221.667292163874,0.8,3.0,0.4
Serie_2,0.9228090452261306,-2223.5494601575756,0.8,3.0,0.4
Serie_2,0.9248140703517588,-2225.4608265520783,0.8,3.0,0.4
Serie_2,0.926819095477387,-2227.401443262599,0.8,3.0,0.4
Serie_2,0.928824120603015,-2229.371370837659,0.8,3.0,0.4
Serie_2,0.9308291457286433,-2231.3706795061885,0.8,3.0,0.4
Serie_2,0.9328341708542713,-2233.399450378152,0.8,3.0,0.4
Serie_2,0.9348391959798995,-2235.457776826574,0.8,3.0,0.4
Serie_2,0.9368442211055277,-2237.5457660850784,0.8,3.0,0.4
Serie_2,0.9388492462311557,-2239.663541102556,0.8,3.0,0.4
Serie_2,0.9408542713567839,-2241.811242706551,0.8,3.0,0.4
Serie_2,0.9428592964824121,-2243.9890321391213,0.8,3.0,0.4
Serie_2,0.9448643216080401,-2246.197094045172,0.8,3.0,0.4
Serie_2,0.9468693467336684,-2248.4356400137785,0.8,3.0,0.4
Serie_2,0.9488743718592965,-2250.704912800211,0.8,3.0,0.4
Serie_2,0.9508793969849246,-2253.0051913920124,0.8,3.0,0.4
Serie_2,0.9528844221105528,-2255.3367971301413,0.8,3.0,0.4
Serie_2,0.9548894472361809,-2257.700101159852,0.8,3.0,0.4
Serie_2,0.956894472361809,-2260.0955335727126,0.8,3.0,0.4
Serie_2,0.9588994974874372,-2262.523594718903,0.8,3.0,0.4
Serie_2,0.9609045226130652,-2264.9848693307013,0.8,3.0,0.4
Serie_2,0.9629095477386935,-2267.4800443191457,0.8,3.0,0.4
